sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,55,-85,35.7659385,51.5631678,5.9,1.71844E+12,0.1,193,1591.2,33,Xiaomi_Redmi_Note_8,-12,8,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,53,-87,35.7659349,51.5631671,6,1.71844E+12,0.1,-2000,1595.9,33,Xiaomi_Redmi_Note_8,-16,-5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,58,-82,35.7659206,51.5631798,7.4,1.71844E+12,0.4,152.6,1597.3,33,Xiaomi_Redmi_Note_8,-12,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,54,-86,35.7658984,51.5632169,7.7,1.71844E+12,0.7,118.6,1591,33,Xiaomi_Redmi_Note_8,-14,-1,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,55,-85,35.7658731,51.5632915,6.9,1.71844E+12,0.8,90.3,1591,33,Xiaomi_Redmi_Note_8,-14,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,51,-89,35.765862,51.5633471,6.9,1.71844E+12,1,93.7,1591.2,33,Xiaomi_Redmi_Note_8,-13,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,51,-89,35.7658398,51.5634059,9.4,1.71844E+12,0.9,102.9,1591.2,33,Xiaomi_Redmi_Note_8,-13,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,51,-89,35.7657806,51.563462,8.3,1.71844E+12,0.9,123.8,1591.2,33,Xiaomi_Redmi_Note_8,-13,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,52,-88,35.7657294,51.5635149,7.2,1.71844E+12,0.9,125.7,1585.9,33,Xiaomi_Redmi_Note_8,-12,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,52,-88,35.7656857,51.5635668,7.6,1.71844E+12,1.1,136.5,1585.9,33,Xiaomi_Redmi_Note_8,-12,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,52,-88,35.7656475,51.5636275,8.1,1.71844E+12,1.1,120.3,1587.6,33,Xiaomi_Redmi_Note_8,-12,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,45,-95,35.7656233,51.5636885,6.9,1.71844E+12,1,113.5,1587.7,33,Xiaomi_Redmi_Note_8,-16,-12,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,50,-90,35.7656027,51.5637496,7.3,1.71844E+12,1,113.1,1586.3,33,Xiaomi_Redmi_Note_8,-16,-5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,56,-84,35.7655687,51.5637971,7.3,1.71844E+12,1,131.1,1586.1,33,Xiaomi_Redmi_Note_8,-14,7,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,53,-87,35.7655336,51.563842,8,1.71844E+12,1,132.1,1589.9,33,Xiaomi_Redmi_Note_8,-13,1,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,62,-78,35.7654916,51.5638887,8.4,1.71844E+12,1.1,140.1,1591.2,33,Xiaomi_Redmi_Note_8,-12,9,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,60,-80,35.7654489,51.5639358,7.6,1.71844E+12,1.1,133.7,1591.2,33,Xiaomi_Redmi_Note_8,-12,10,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,50,-90,35.7654132,51.5640063,8,1.71844E+12,1.2,116.9,1585,33,Xiaomi_Redmi_Note_8,-13,-1,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,54,-86,35.7653775,51.5640839,6.8,1.71844E+12,1.4,113.1,1584.9,33,Xiaomi_Redmi_Note_8,-12,8,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,64,-76,35.7653607,51.5641475,7.3,1.71844E+12,1.1,117,1597.3,33,Xiaomi_Redmi_Note_8,-11,16,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,64,-76,35.765313,51.5642014,6,1.71844E+12,1,131.7,1597.3,33,Xiaomi_Redmi_Note_8,-11,16,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,62,-78,35.7652816,51.5642508,6.3,1.71844E+12,1,118.8,1583.8,33,Xiaomi_Redmi_Note_8,-10,13,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,65,-75,35.7652563,51.5643059,6.4,1.71844E+12,1,102,1588.9,33,Xiaomi_Redmi_Note_8,-9,7,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,63,-77,35.7652229,51.5643413,7.3,1.71844E+12,0.9,154.6,1588.9,33,Xiaomi_Redmi_Note_8,-10,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,63,-77,35.7651853,51.5643755,6.9,1.71844E+12,1,133.1,1592.1,33,Xiaomi_Redmi_Note_8,-10,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,63,-77,35.7651552,51.5644338,7.2,1.71844E+12,1.1,127.6,1592.1,33,Xiaomi_Redmi_Note_8,-10,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,58,-82,35.7651207,51.5644777,6.2,1.71844E+12,1.1,123.8,1592.9,33,Xiaomi_Redmi_Note_8,-10,9,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,70,-70,35.7650862,51.5645194,7.1,1.71844E+12,1.1,134.5,1592.9,33,Xiaomi_Redmi_Note_8,-10,19,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,70,-70,35.7650986,51.5645214,5.1,1.71844E+12,0.9,126.7,1582.5,33,Xiaomi_Redmi_Note_8,-10,19,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,70,-70,35.7650881,51.5645585,4.6,1.71844E+12,0.9,112.2,1582.7,33,Xiaomi_Redmi_Note_8,-10,19,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,60,-80,35.7650734,51.564587,5.9,1.71844E+12,0.9,128.7,1583.5,33,Xiaomi_Redmi_Note_8,-11,6,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,63,-77,35.7650627,51.564609,7.4,1.71844E+12,1,121.6,1583,33,Xiaomi_Redmi_Note_8,-13,15,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,64,-76,35.7650644,51.5646325,7.7,1.71844E+12,0.9,113.7,1582.7,33,Xiaomi_Redmi_Note_8,-12,12,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,73,-67,35.765043,51.564679,7.9,1.71844E+12,1,114.8,1582.7,33,Xiaomi_Redmi_Note_8,-13,22,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,57,-83,35.765038,51.5647112,7.4,1.71844E+12,1,126,1583.1,33,Xiaomi_Redmi_Note_8,-10,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,67,-73,35.7650192,51.5647351,8.6,1.71844E+12,0.9,128.2,1586.5,33,Xiaomi_Redmi_Note_8,-11,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,67,-73,35.7649857,51.5647683,6.3,1.71844E+12,1,139.3,1582,33,Xiaomi_Redmi_Note_8,-11,14,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,67,-73,35.7649517,51.5648212,6,1.71844E+12,0.9,135.4,1577.8,33,Xiaomi_Redmi_Note_8,-10,21,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,67,-73,35.7649153,51.5648844,6.5,1.71844E+12,1,219.6,1580,33,Xiaomi_Redmi_Note_8,-10,11,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,66,-74,35.7648707,51.5649447,7,1.71844E+12,1.1,143.8,1580.4,33,Xiaomi_Redmi_Note_8,-10,15,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,66,-74,35.7648164,51.5650275,6.7,1.71844E+12,1.1,136.8,1583.3,33,Xiaomi_Redmi_Note_8,-10,15,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23114037,90289,53,0,139,0,0,4,64,-76,35.7647769,51.5651118,4.3,1.71844E+12,1.1,110.8,1584.4,33,Xiaomi_Redmi_Note_8,-12,5,-1000,-1,-1,,,,,,,,,,,
